static_val,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,55,55,55,55,55,55,55,55,55,55,55,55,55,60,60,60,60,60,60,60,60,60,60,60,60,60,169,169,169,169,169,169,169,169,169,169,169,169,169,74,74,74,74,74,74,74,0,74,74,74,74,14,14,14,14,14,14,14,14,14,0,14,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12
time,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21
dis_static,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21
dynamic_val,83,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,84,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2
time,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21
dis_move,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21
speed,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21,08/02 12:21
