static_val,3,3,3,3,3,245,245,245,245,245,245,245,245,245,245,245,245,63,63,63,63,63,63,63,63,63,63,63,6,6,10,6,6,6,6,6,6,6,6,6,6,79,79,79,79,79,79,79,79,79,79,207,207,207,42,207,207,207,207,207,207,207,207,68,68,68,68,68,68,68,68,68,68,68,68,68,239,239,239,239,239,239,239,239,239,239,239,239,50,50,50,50,50,50,50,50,193,193,193,193,193,193,193,193,193,193,193,215,215,215,215,215,215,215,215,215,215,177,177,177,177,177,177,177,177,177,177,177,177,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,189,189,189,189,189,189,189,189,189,189,189,9,9,9,9,9,9,9,9,9,48,48,48,48,48,48
time,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25
dis_static,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
time,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25
dynamic_val,4,5,3,3,4,5,3,4,5,3,4,4,4,58,3,3,4,4,4,4,62,3,5,56,3,4,4,4,3,3,84,4,5,7,7,4,10,9,53,7,59,5,4,4,5,4,3,51,4,54,64,4,54,3,83,4,58,4,4,4,4,60,5,52,57,7,63,5,4,4,107,103,76,4,3,4,3,3,3,3,3,3,3,4,4,78,66,68,84,50,38,55,39,42,85,121,81,51,52,38,94,56,90,97,94,81,5,38,39,3,52,52,44,40,63,190,131,42,52,3,5,50,67,178,216,89,64,62,78,4,40,63,5,4,40,3,39,4,3,53,4,3,4,4,4,54,4,14,80,163,187,165,154,186,165,93,5,4,4,3,4,4,166,246,247,228,196,123,92,88,11,10,4,52,73,75,84,5
time,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25
dis_move,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,0,2,2,0,1,1,2,2,1,1,1,2,1,0,0,1,0,1,1,1,1,1,1,0,2,1,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,0
time,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25
speed,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
time,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25,07/31 21:25
