static_val,105,105,105,147,147,147,147,147,147,147,147,147,147,106,106,106,106,106,106,106,106,106,106,106,169,169,169,169,169,169,169,169,169,169,214,214,214,214,214,214,214,214,214,214,214,214,206,206,206,206,206,206,206,206,206,206,206,206,154,154,154,154,154,154,154,154,154,154,154,154,154,75,75,75,75,75,75,75,75,75,75,75,206,206,206,206,206,206,206,206,206,19,19,19,19,19,19,19,19,19,19,19,19,84,84,84,84,84,84,84,84,84,84,84,84,84,117,117,117,117,117,117,117,117,117,117,117,117,193,193,193,193,193,193,193,193,193,193,193,218,218,218,218,218,218,218,218,218,218,218,0,0,0,0,0,0,0,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,36,36,36,36,36,36,36,36
time,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07
dis_static,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
time,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07
dynamic_val,250,250,203,127,158,124,110,45,119,57,120,32,71,78,226,199,214,214,191,208,32,30,40,36,50,16,18,52,52,23,10,11,7,7,6,5,5,38,15,9,19,17,40,37,3,9,9,6,7,11,6,13,14,7,11,7,8,13,17,9,10,13,6,7,18,38,15,26,31,102,18,62,219,70,71,69,187,165,150,175,238,247,162,100,85,233,117,64,35,83,116,117,213,218,195,206,196,146,171,199,182,150,210,232,250,223,170,180,250,207,153,164,77,63,223,201,134,56,48,175,189,250,170,169,62,33,13,30,24,19,13,17,76,202,205,167,49,14,49,250,59,24,20,36,8,9,39,25,7,11,16,13,38,13,16,7,13,6,21,20,23,16,10,27,20,6,10,5,3,15,77,22,27,19,36,16,14,10,14,9,19
time,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07
dis_move,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,2,2
time,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07
speed,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,8,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
time,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07,07/15 23:07
