static_val,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,212,212,212,212,212,212,212,212,212,212,212,212
dis_static,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
dynamic_val,83,15,11,8,6,13,11,15,21,19,26,26,5,31,9,20,12,13,10,10,16,12,10,12,22,22,27,27,14,17,11,9,13,20,24,19,31,31,16,14,6,17,17,28,36,23,28,25,15,6,19,11,23,37,18,19,30,20,34,35,45,94,92,61,61,53,31,67,83,105,121,121,202,195,246,246,194,216,203,222,207,82,91,105,109,45,108,72,28,31,39,15,10,35,41,12,25,15,25,14,10,15,15,18,15,16,17,17,15,17,12,7,8,4,12,16,21,62,83,76,43,7,7,6,10,23,23,28,48,29,17,13,13,18,18,12,42,11,8,11,4,8,15,5,9,14,8,9,7,8,8,6,17,15,12,22,22,14,12,12,9,8,11,9,10,15,4,4,6,6,7,20,10,15,17,16,11,11,15,15,25,6,5,5,8,11,11,15,14,16,5,14,10,6,10,13,15,16,11,11,14,5,9,22,11,16,15,7,9,4,10,9,13,15,15,17,11,7,16,10,12,16,21,10,7,5,7,10,14,12,16,21,9,12,13,10,8,8,15,11,11,11,7,7,7,7,12,16,11,7,14,9,6,6,13,13,8,8,8,9,13,13,114,83,69,63,76,217,217,103,107,107,98,48,35,27,23,54,12,36,28,19,9,35,37,59,59,23,23,8,13,24,26,15,15,13,17,11,14,11,11,21,12,21,27,23,24,27,55,24,21,19,30,29,29,22,14,11,154,61,12,65,65,16,12,9,106,109,109,59,59,20,21,21,15,42,37,7,12,5,7,25,15,20,36,18,11,14,68,9,16,28,28,20,9,31,15,21,15,21,21,7,8,7,146,26,40,166,92,81,106,58,46,28,47,41,47,52,67,22,49,25,22,28,18,9,13,10,24,25,15,52,41,43,18,14,42,27,27,23,23,11,8,9,9,114,114,59,26,77,96,96,12,63,41,32,28,39,50,92,71,11,28,33,28,25,21,11,10,9,19,24,19,27,10,23,20,7,20,20,158,17,9,15,37,34,28,75,64,48,16,14,20,10,25,209,203,54,42,20,12,12,22,23,36,34,20,20,18,21,16,9,26,38,35,44,43,20,21,21,45,35,52,30,20,20,95,104,104,57,33,29,16,18,18,11,40,28,34,29,24,42,31,189,85,82,30,30,105,100,48,51,43,39,45,54,54,51,185,185,213,155,219,219,147,95,232,232,204,157,180,170,221,192,178,250,240,158,65,115,208,177,97,89,223,63,234,218,204,204,250,238,53,54,51,250,250,246,223,89,89,206,219,101,88,86,197,150,147,152,105,49,30,125,99,51,123,147,136,76,80,89,204,204,171,98,84,213,79,200,119,225,129,200,242,153,153,162,162,52,37,36,35,24,20,9,11,25,40,41,48,65,26,18,37,12,21,21,15
dis_move,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,2,2,0,0,2,2,2,0,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,2,2,2,2,2,0,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,2,2,2,2,2,2,2,0,0,2,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0,2,2,2,0,0,1,1,1,1,1,0,0,0,2,2,2,0,2,0,0,0,2,0,0,2,0,2,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,2,1,1,1,1,2,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,0,2,0,0,0,0,0,0,2,2,1,1,2,0,1,1,1,0,2,2,0,0,2,2,1,1,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,1,1,1,2,2,0,0,2,2,0,0,0,2,0,0,0,0,2,1,2,0,0,1,1,2,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,0,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
speed,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
