155,155,233,233,233,233,233,233,233,233,233,233,233,233,233,250,250,250,250,250,250,250,250,250,250,149,149,149,149,149,149,149,149,149,149,149,112,112,112,112,112,112,112,112,112,112,112,222,222,222,222,222,222,222,222,222,222,222,222,137,137,137,137,137,137,137,137,137,137,137,137,137,247,247,247,247,247,247,247,247,247,247,247,247,87,87,87,87,87,87
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
25,15,17,5,20,17,18,15,23,29,14,24,14,17,15,16,23,18,15,20,27,20,25,25,13,23,16,16,22,10,17,26,218,190,245,108,233,149,57,30,138,22,21,163,81,132,158,49,89,61,46,32,125,198,180,48,54,26,15,27,23,19,41,56,28,7,72,239,138,182,201,201,169,176,232,145,235,235,56,88,55,31,39,26,21,16,23,22,34,27
3,3,4,6,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,2,3,2,3,2,2,2,3,2,3,2,3,6,4,6,6,5,4,4,4,5,4,3,0,4,3,3,2,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,4,2,2
7,6,7,9,9,6,11,7,9,9,7,9,6,7,7,11,7,9,11,9,9,9,9,9,11,9,7,11,7,6,11,11,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,9,9,6,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,11,11,11,9,10,10
