heart_rate
breath_rate
bodysign_val,75,75,75,75,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,87,87,87,87,87,87,81,81,81,81,81,75,75,75,75,75,169,169,169,169,169,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,81,81,81,81,81,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,87,81,81,81,81,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,87,87,87,87,87,75,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,87,87,87,87,81,81,81,81,81,75,75,75,75,75,75,75,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,81,81,81,81,75,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,87,87,87,87,87,75,75,75,75,87,87,87,87,87,87,87,87,87,87,87,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,75,75,75,87,87,87,87,87,75,75,81,81,81,81,75,75,75,75,75,75,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,87,87,87,87,87,87,81,81,81,81,81,87,87,87,87,87,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,87,87,87,87,81,75,75,75,75,75,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,75,75,75,75,75,87,87,87,87,87,87,87,87,87,87,75,75,75,87,87,87,87
distance
