heart_rate
breath_rate
bodysign_val,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,87,87,87,87,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,68,68,68,68,68,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,68,68,68,68,68,75,87,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,81,81,81,81,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,81,81,81,81,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
distance
