static_val,63,63,63,63,63,63,63,63,63,63,63,63,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,0,119,119,119,147,147,147,147,147,147,147,147
time,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16
dis_static,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
time,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16
dynamic_val,83,146,167,250,228,153,158,151,234,202,138,138,229,155,156,156,241,238,118,59,147,165,142,142,176,249,202,202,143,177,208,184,210,210,145,80,197,162,239,153,169,201,158,242,126,250,250,190,166,140,130,3,215,109,109,236,145,233,203,197,177,203,203,241,246,246,141,171,249,133,238,167,223,64,130,238,211,84,223,216,196,187,214,250,250,244,244,244,210
time,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16
dis_move,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1
time,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16
speed,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,10,8,8,8,8,8,8,8,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
time,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16,08/06 08:16
